FREQ-GHZ	DB[S11]	MAG[Z1]
	EXP1	EXP1
		
0	-6.90E-07	2.00E-06
0.01	-2.20E-06	1.111
0.02	-1.50E-05	2.224
0.03	-5.00E-05	3.341
0.04	-1.20E-04	4.462
0.05	-2.30E-04	5.591
0.06	-4.00E-04	6.728
0.07	-6.30E-04	7.876
0.08	-9.40E-04	9.037
0.09	-0.001	10.213
0.1	-0.002	11.405
0.11	-0.002	12.616
0.12	-0.003	13.849
0.13	-0.004	15.106
0.14	-0.005	16.389
0.15	-0.006	17.703
0.16	-0.008	19.049
0.17	-0.009	20.431
0.18	-0.011	21.853
0.19	-0.013	23.319
0.2	-0.015	24.833
0.21	-0.018	26.4
0.22	-0.02	28.027
0.23	-0.023	29.717
0.24	-0.027	31.48
0.25	-0.03	33.321
0.26	-0.034	35.25
0.27	-0.039	37.275
0.28	-0.043	39.409
0.29	-0.048	41.663
0.3	-0.053	44.052
0.31	-0.059	46.591
0.32	-0.065	49.301
0.33	-0.072	52.203
0.34	-0.079	55.325
0.35	-0.086	58.696
0.36	-0.093	62.354
0.37	-0.102	66.344
0.38	-0.11	70.721
0.39	-0.119	75.55
0.4	-0.128	80.915
0.41	-0.138	86.92
0.42	-0.148	93.698
0.43	-0.158	101.42
0.44	-0.169	110.315
0.45	-0.18	120.687
0.46	-0.191	132.957
0.47	-0.202	147.725
0.48	-0.214	165.869
0.49	-0.226	188.731
0.5	-0.237	218.473
0.51	-0.249	258.807
0.52	-0.261	316.68
0.53	-0.273	406.72
0.54	-0.285	565.594
0.55	-0.296	914.51
0.56	-0.308	2.00E+03
0.57	-0.319	2.00E+03
0.58	-0.329	894.755
0.59	-0.34	557.659
0.6	-0.35	402.52
0.61	-0.36	314.087
0.62	-0.369	257.043
0.63	-0.378	217.19
0.64	-0.386	187.751
0.65	-0.393	165.093
0.66	-0.401	147.093
0.67	-0.407	132.43
0.68	-0.413	120.237
0.69	-0.419	109.926
0.7	-0.424	101.079
0.71	-0.428	93.395
0.72	-0.432	86.648
0.73	-0.435	80.668
0.74	-0.438	75.325
0.75	-0.441	70.513
0.76	-0.443	66.152
0.77	-0.444	62.175
0.78	-0.445	58.528
0.79	-0.446	55.166
0.8	-0.446	52.053
0.81	-0.446	49.158
0.82	-0.446	46.455
0.83	-0.445	43.921
0.84	-0.445	41.538
0.85	-0.443	39.289
0.86	-0.442	37.159
0.87	-0.441	35.137
0.88	-0.439	33.212
0.89	-0.437	31.374
0.9	-0.435	29.614
0.91	-0.433	27.926
0.92	-0.431	26.303
0.93	-0.429	24.737
0.94	-0.427	23.226
0.95	-0.425	21.762
0.96	-0.423	20.342
0.97	-0.421	18.962
0.98	-0.419	17.619
0.99	-0.417	16.308
1	-0.415	15.028
1.01	-0.413	13.774
1.02	-0.411	12.545
1.03	-0.409	11.338
1.04	-0.408	10.151
1.05	-0.406	8.983
1.06	-0.405	7.831
1.07	-0.403	6.696
1.08	-0.402	5.577
1.09	-0.402	4.476
1.1	-0.401	3.402
1.11	-0.4	2.379
1.12	-0.4	1.503
1.13	-0.4	1.16
1.14	-0.4	1.708
1.15	-0.4	2.643
1.16	-0.401	3.684
1.17	-0.402	4.767
1.18	-0.403	5.873
1.19	-0.405	6.996
1.2	-0.406	8.136
1.21	-0.408	9.292
1.22	-0.411	10.466
1.23	-0.413	11.658
1.24	-0.416	12.871
1.25	-0.42	14.107
1.26	-0.424	15.368
1.27	-0.428	16.657
1.28	-0.432	17.977
1.29	-0.437	19.331
1.3	-0.443	20.721
1.31	-0.448	22.153
1.32	-0.455	23.63
1.33	-0.461	25.157
1.34	-0.468	26.739
1.35	-0.476	28.38
