FREQ-GHZ  MAG[Y1]   IM[Y1]
            OPEN4    OPEN4
 
 2.00000    0.066    0.066
 2.00500    0.067    0.067
 2.01000    0.068    0.068
 2.01500    0.069    0.069
 2.02000    0.070    0.070
 2.02500    0.070    0.070
 2.03000    0.071    0.071
 2.03500    0.072    0.072
 2.04000    0.073    0.073
 2.04500    0.074    0.074
 2.05000    0.075    0.075
 2.05500    0.076    0.076
 2.06000    0.077    0.077
 2.06500    0.078    0.078
 2.07000    0.079    0.079
 2.07500    0.080    0.080
 2.08000    0.081    0.081
 2.08500    0.082    0.082
 2.09000    0.084    0.083
 2.09500    0.085    0.085
 2.10000    0.086    0.086
 2.10500    0.087    0.087
 2.11000    0.089    0.088
 2.11500    0.090    0.090
 2.12000    0.091    0.091
 2.12500    0.093    0.092
 2.13000    0.094    0.094
 2.13500    0.096    0.095
 2.14000    0.097    0.097
 2.14500    0.099    0.099
 2.15000    0.100    0.100
 2.15500    0.102    0.102
 2.16000    0.104    0.104
 2.16500    0.106    0.105
 2.17000    0.108    0.107
 2.17500    0.110    0.109
 2.18000    0.112    0.111
 2.18500    0.114    0.113
 2.19000    0.116    0.115
 2.19500    0.118    0.118
 2.20000    0.120    0.120
 2.20500    0.123    0.122
 2.21000    0.125    0.125
 2.21500    0.128    0.127
 2.22000    0.131    0.130
 2.22500    0.134    0.133
 2.23000    0.136    0.136
 2.23500    0.140    0.139
 2.24000    0.143    0.142
 2.24500    0.146    0.145
 2.25000    0.150    0.149
 2.25500    0.153    0.153
 2.26000    0.157    0.156
 2.26500    0.162    0.160
 2.27000    0.166    0.165
 2.27500    0.170    0.169
 2.28000    0.175    0.174
 2.28500    0.180    0.179
 2.29000    0.186    0.184
 2.29500    0.191    0.190
 2.30000    0.197    0.195
 2.30500    0.204    0.202
 2.31000    0.211    0.208
 2.31500    0.218    0.215
 2.32000    0.226    0.223
 2.32500    0.234    0.231
 2.33000    0.243    0.240
 2.33500    0.253    0.249
 2.34000    0.264    0.259
 2.34500    0.275    0.270
 2.35000    0.288    0.282
 2.35500    0.301    0.294
 2.36000    0.316    0.308
 2.36500    0.333    0.323
 2.37000    0.351    0.340
 2.37500    0.371    0.358
 2.38000    0.394    0.378
 2.38500    0.419    0.400
 2.39000    0.448    0.425
 2.39500    0.481    0.452
 2.40000    0.518    0.482
 2.40500    0.561    0.515
 2.41000    0.611    0.550
 2.41500    0.670    0.589
 2.42000    0.738    0.629
 2.42500    0.819    0.666
 2.43000    0.914    0.695
 2.43500    1.023    0.703
 2.44000    1.142    0.668
 2.44500    1.262    0.560
 2.45000    1.360    0.354
 2.45500    1.407    0.061
 2.46000    1.385   -0.248
 2.46500    1.304   -0.492
 2.47000    1.189   -0.636
 2.47500    1.068   -0.696
 2.48000    0.954   -0.702
 2.48500    0.854   -0.679
 2.49000    0.768   -0.644
 2.49500    0.695   -0.604
 2.50000    0.633   -0.565
 2.50500    0.580   -0.528
 2.51000    0.534   -0.494
 2.51500    0.494   -0.463
 2.52000    0.460   -0.435
 2.52500    0.430   -0.409
 2.53000    0.403   -0.386
 2.53500    0.380   -0.366
 2.54000    0.359   -0.347
 2.54500    0.340   -0.329
 2.55000    0.322   -0.314
 2.55500    0.307   -0.299
 2.56000    0.293   -0.286
 2.56500    0.280   -0.274
 2.57000    0.268   -0.263
 2.57500    0.257   -0.253
 2.58000    0.247   -0.243
 2.58500    0.238   -0.234
 2.59000    0.229   -0.226
 2.59500    0.221   -0.218
 2.60000    0.213   -0.211
 2.60500    0.206   -0.204
 2.61000    0.200   -0.198
 2.61500    0.194   -0.192
 2.62000    0.188   -0.186
 2.62500    0.182   -0.181
 2.63000    0.177   -0.176
 2.63500    0.172   -0.171
 2.64000    0.167   -0.166
 2.64500    0.163   -0.162
 2.65000    0.159   -0.158
 2.65500    0.155   -0.154
 2.66000    0.151   -0.150
 2.66500    0.147   -0.147
 2.67000    0.144   -0.143
 2.67500    0.141   -0.140
 2.68000    0.138   -0.137
 2.68500    0.135   -0.134
 2.69000    0.132   -0.131
 2.69500    0.129   -0.128
 2.70000    0.126   -0.126
 2.70500    0.124   -0.123
 2.71000    0.121   -0.121
 2.71500    0.119   -0.118
 2.72000    0.117   -0.116
 2.72500    0.114   -0.114
 2.73000    0.112   -0.112
 2.73500    0.110   -0.110
 2.74000    0.108   -0.108
 2.74500    0.106   -0.106
 2.75000    0.104   -0.104
 2.75500    0.103   -0.102
 2.76000    0.101   -0.101
 2.76500    0.099   -0.099
 2.77000    0.098   -0.097
 2.77500    0.096   -0.096
 2.78000    0.095   -0.094
 2.78500    0.093   -0.093
 2.79000    0.092   -0.091
 2.79500    0.090   -0.090
 2.80000    0.089   -0.089
 2.80500    0.088   -0.087
