FREQ-GHZ  DB[S21]
             L0.8
 
 0.00000 -1.1e-07
 0.10000   -0.015
 0.20000   -0.030
 0.30000   -0.045
 0.40000   -0.060
 0.50000   -0.075
 0.60000   -0.090
 0.70000   -0.105
 0.80000   -0.120
 0.90000   -0.135
 1.00000   -0.150
 1.10000   -0.165
 1.20000   -0.180
 1.30000   -0.195
 1.40000   -0.210
 1.50000   -0.225
 1.60000   -0.240
 1.70000   -0.255
 1.80000   -0.270
 1.90000   -0.286
 2.00000   -0.301
 2.10000   -0.316
 2.20000   -0.331
 2.30000   -0.346
 2.40000   -0.361
 2.50000   -0.376
 2.60000   -0.391
 2.70000   -0.407
 2.80000   -0.422
 2.90000   -0.437
 3.00000   -0.452
 3.10000   -0.468
 3.20000   -0.483
 3.30000   -0.498
 3.40000   -0.514
 3.50000   -0.529
 3.60000   -0.544
 3.70000   -0.559
 3.80000   -0.575
 3.90000   -0.590
 4.00000   -0.605
 4.10000   -0.621
 4.20000   -0.636
 4.30000   -0.651
 4.40000   -0.667
 4.50000   -0.682
 4.60000   -0.698
 4.70000   -0.713
 4.80000   -0.729
 4.90000   -0.744
 5.00000   -0.760
 5.10000   -0.775
 5.20000   -0.791
 5.30000   -0.806
 5.40000   -0.822
 5.50000   -0.837
 5.60000   -0.853
 5.70000   -0.868
 5.80000   -0.884
 5.90000   -0.899
 6.00000   -0.915
 6.10000   -0.931
 6.20000   -0.946
 6.30000   -0.962
 6.40000   -0.978
 6.50000   -0.994
 6.60000   -1.009
 6.70000   -1.025
 6.80000   -1.041
 6.90000   -1.056
 7.00000   -1.072
 7.10000   -1.088
 7.20000   -1.103
 7.30000   -1.119
 7.40000   -1.135
 7.50000   -1.151
 7.60000   -1.167
 7.70000   -1.183
 7.80000   -1.199
 7.90000   -1.215
 8.00000   -1.230
 8.10000   -1.246
 8.20000   -1.262
 8.30000   -1.278
 8.40000   -1.294
 8.50000   -1.310
 8.60000   -1.326
 8.70000   -1.342
 8.80000   -1.358
 8.90000   -1.374
 9.00000   -1.390

