FREQ-GHZ  MAG[Z1]  DB[S11]  MAG[Z1]  DB[S11]
           EXP312   EXP312   EXP314   EXP314
 
 0.10000   27.102  -10.528   27.696  -10.634
 0.11000   27.132  -10.540   27.849  -10.667
 0.12000   27.166  -10.553   28.017  -10.705
 0.13000   27.203  -10.567   28.199  -10.746
 0.14000   27.244  -10.582   28.395  -10.791
 0.15000   27.288  -10.600   28.605  -10.839
 0.16000   27.335  -10.618   28.829  -10.892
 0.17000   27.386  -10.638   29.067  -10.949
 0.18000   27.440  -10.660   29.318  -11.009
 0.19000   27.497  -10.683   29.582  -11.074
 0.20000   27.558  -10.707   29.860  -11.143
 0.21000   27.621  -10.733   30.149  -11.216
 0.22000   27.688  -10.760   30.451  -11.294
 0.23000   27.757  -10.788   30.765  -11.376
 0.24000   27.829  -10.818   31.091  -11.462
 0.25000   27.904  -10.850   31.428  -11.554
 0.26000   27.982  -10.883   31.777  -11.650
 0.27000   28.063  -10.917   32.136  -11.751
 0.28000   28.146  -10.952   32.505  -11.857
 0.29000   28.231  -10.989   32.885  -11.968
 0.30000   28.319  -11.027   33.274  -12.085
 0.31000   28.409  -11.067   33.672  -12.207
 0.32000   28.501  -11.108   34.079  -12.335
 0.33000   28.596  -11.150   34.495  -12.470
 0.34000   28.692  -11.193   34.919  -12.610
 0.35000   28.790  -11.238   35.350  -12.756
 0.36000   28.890  -11.284   35.788  -12.909
 0.37000   28.992  -11.331   36.232  -13.070
 0.38000   29.095  -11.380   36.682  -13.237
 0.39000   29.199  -11.429   37.138  -13.412
 0.40000   29.305  -11.480   37.598  -13.594
 0.41000   29.412  -11.532   38.062  -13.785
 0.42000   29.520  -11.585   38.529  -13.985
 0.43000   29.629  -11.639   38.999  -14.193
 0.44000   29.739  -11.694   39.471  -14.411
 0.45000   29.849  -11.750   39.943  -14.639
 0.46000   29.960  -11.807   40.416  -14.877
 0.47000   30.071  -11.864   40.888  -15.127
 0.48000   30.182  -11.923   41.358  -15.389
 0.49000   30.293  -11.982   41.826  -15.663
 0.50000   30.405  -12.042   42.290  -15.951
 0.51000   30.516  -12.103   42.749  -16.253
 0.52000   30.627  -12.164   43.202  -16.570
 0.53000   30.737  -12.226   43.649  -16.904
 0.54000   30.846  -12.288   44.087  -17.257
 0.55000   30.955  -12.351   44.516  -17.629
 0.56000   31.063  -12.414   44.935  -18.022
 0.57000   31.169  -12.477   45.342  -18.438
 0.58000   31.275  -12.540   45.736  -18.880
 0.59000   31.379  -12.603   46.116  -19.351
 0.60000   31.481  -12.666   46.480  -19.853
 0.61000   31.582  -12.729   46.828  -20.391
 0.62000   31.681  -12.791   47.158  -20.969
 0.63000   31.777  -12.853   47.470  -21.593
 0.64000   31.872  -12.915   47.761  -22.270
 0.65000   31.964  -12.976   48.031  -23.009
 0.66000   32.054  -13.036   48.278  -23.820
 0.67000   32.141  -13.095   48.503  -24.720
 0.68000   32.226  -13.153   48.703  -25.726
 0.69000   32.308  -13.209   48.878  -26.868
 0.70000   32.386  -13.265   49.028  -28.183
 0.71000   32.462  -13.318   49.152  -29.731
 0.72000   32.534  -13.371   49.248  -31.603
 0.73000   32.603  -13.421   49.318  -33.955
 0.74000   32.669  -13.470   49.360  -37.045
 0.75000   32.731  -13.516   49.374  -41.127
 0.76000   32.789  -13.560   49.361  -43.822
 0.77000   32.844  -13.602   49.320  -40.437
 0.78000   32.895  -13.641   49.251  -36.502
 0.79000   32.941  -13.678   49.155  -33.555
 0.80000   32.984  -13.712   49.033  -31.298
 0.81000   33.023  -13.743   48.885  -29.489
 0.82000   33.057  -13.771   48.711  -27.987
 0.83000   33.087  -13.797   48.512  -26.707
 0.84000   33.113  -13.819   48.290  -25.593
 0.85000   33.135  -13.837   48.044  -24.609
 0.86000   33.152  -13.853   47.777  -23.729
 0.87000   33.165  -13.865   47.488  -22.934
 0.88000   33.174  -13.873   47.180  -22.209
 0.89000   33.178  -13.879   46.853  -21.545
 0.90000   33.178  -13.880   46.509  -20.933
 0.91000   33.173  -13.879   46.148  -20.366
 0.92000   33.164  -13.874   45.773  -19.838
 0.93000   33.150  -13.865   45.383  -19.344
 0.94000   33.132  -13.853   44.981  -18.882
 0.95000   33.110  -13.838   44.567  -18.448
 0.96000   33.084  -13.819   44.144  -18.039
 0.97000   33.053  -13.798   43.711  -17.653
 0.98000   33.018  -13.773   43.271  -17.288
 0.99000   32.979  -13.745   42.824  -16.942
 1.00000   32.936  -13.714   42.371  -16.614
 1.01000   32.889  -13.680   41.914  -16.303
 1.02000   32.838  -13.644   41.454  -16.007
 1.03000   32.783  -13.605   40.991  -15.725
 1.04000   32.725  -13.564   40.527  -15.456
 1.05000   32.663  -13.520   40.062  -15.200
 1.06000   32.598  -13.474   39.597  -14.955
 1.07000   32.529  -13.426   39.134  -14.721
 1.08000   32.457  -13.377   38.673  -14.498
 1.09000   32.381  -13.325   38.214  -14.285
 1.10000   32.303  -13.272   37.758  -14.081
 1.11000   32.222  -13.217   37.307  -13.886
 1.12000   32.138  -13.161   36.861  -13.700
 1.13000   32.051  -13.104   36.420  -13.521
 1.14000   31.962  -13.046   35.985  -13.351
 1.15000   31.871  -12.987   35.556  -13.188
 1.16000   31.778  -12.927   35.135  -13.031
 1.17000   31.682  -12.867   34.721  -12.882
 1.18000   31.584  -12.806   34.314  -12.739
 1.19000   31.485  -12.745   33.917  -12.603
 1.20000   31.384  -12.683   33.528  -12.472
 1.21000   31.282  -12.621   33.149  -12.348
 1.22000   31.178  -12.559   32.779  -12.229
 1.23000   31.073  -12.497   32.419  -12.116
 1.24000   30.967  -12.435   32.070  -12.008
 1.25000   30.861  -12.374   31.732  -11.905
 1.26000   30.753  -12.313   31.404  -11.808
 1.27000   30.645  -12.252   31.088  -11.715
 1.28000   30.537  -12.191   30.783  -11.627
 1.29000   30.428  -12.131   30.491  -11.543
 1.30000   30.319  -12.072   30.210  -11.465
 1.31000   30.210  -12.013   29.943  -11.390
 1.32000   30.102  -11.955   29.687  -11.320
 1.33000   29.993  -11.898   29.445  -11.254
 1.34000   29.885  -11.841   29.216  -11.193
 1.35000   29.778  -11.786   29.000  -11.135
 1.36000   29.671  -11.731   28.798  -11.082
 1.37000   29.565  -11.678   28.610  -11.032
 1.38000   29.460  -11.625   28.436  -10.987
 1.39000   29.357  -11.573   28.275  -10.945
 1.40000   29.254  -11.523   28.129  -10.907
 1.41000   29.153  -11.473   27.998  -10.873
 1.42000   29.053  -11.425   27.881  -10.842
 1.43000   28.955  -11.378   27.779  -10.815
 1.44000   28.858  -11.332   27.691  -10.792
 1.45000   28.763  -11.287   27.618  -10.773
 1.46000   28.670  -11.244   27.560  -10.757
 1.47000   28.579  -11.202   27.517  -10.745
 1.48000   28.490  -11.161   27.489  -10.736
 1.49000   28.404  -11.121   27.477  -10.731
 1.50000   28.319  -11.083   27.479  -10.729
