FREQ-MHZ	DB[S11]	MAG[Z1]		3.00E+08	83.8227 	0.3	4.022
	EXP1	EXP1		3.14E+08	81.1549 	0.314	4.474
				3.27E+08	75.3787 	0.327	4.942
0.1	-0.008	9.918		3.41E+08	68.7939 	0.341	5.431
0.11	-0.013	10.989		3.54E+08	62.2345 	0.354	5.943
0.12	-0.019	12.086		3.68E+08	56.2952 	0.368	6.485
0.13	-0.028	13.215		3.81E+08	51.3993 	0.381	7.059
0.14	-0.04	14.381		3.95E+08	47.7707 	0.395	7.675
0.15	-0.057	15.591		4.08E+08	45.4007 	0.408	8.337
0.16	-0.08	16.853		4.22E+08	44.0847 	0.422	9.056
0.17	-0.112	18.176		4.35E+08	43.5326 	0.435	9.839
0.18	-0.157	19.57		4.49E+08	43.3737 	0.449	10.694
0.19	-0.22	21.049		4.62E+08	43.1850 	0.462	11.626
0.2	-0.308	22.625		4.76E+08	42.7502 	0.476	12.625
0.21	-0.431	24.308		4.89E+08	42.2302 	0.489	13.661
0.22	-0.603	26.099		5.03E+08	41.6717 	0.503	14.658
0.23	-0.843	27.98		5.16E+08	42.0746 	0.516	15.482
0.24	-1.171	29.884		5.30E+08	42.9843 	0.53	15.943
0.25	-1.603	31.663		5.43E+08	44.5466 	0.543	15.877
0.26	-2.135	33.062		5.57E+08	46.4556 	0.557	15.258
0.27	-2.714	33.766		5.70E+08	48.3121 	0.57	14.246
0.28	-3.23	33.592		5.84E+08	49.7081 	0.584	13.089
0.29	-3.556	32.697		5.97E+08	50.6105 	0.597	11.997
0.3	-3.63	31.535		6.11E+08	51.4352 	0.611	11.089
0.31	-3.498	30.559		6.24E+08	52.8913 	0.624	10.405
0.32	-3.253	30.014		6.38E+08	54.9813 	0.638	9.94
0.33	-2.975	29.941		6.51E+08	57.5223 	0.651	9.665
0.34	-2.708	30.275		6.65E+08	60.4035 	0.665	9.547
0.35	-2.472	30.925		6.78E+08	62.8946 	0.678	9.552
0.36	-2.269	31.81		6.92E+08	64.8253 	0.692	9.652
0.37	-2.099	32.867		7.05E+08	66.0787 	0.705	9.824
0.38	-1.957	34.055		7.19E+08	67.3089 	0.719	10.051
0.39	-1.839	35.344		7.32E+08	68.5035 	0.732	10.319
0.4	-1.741	36.716		7.46E+08	71.3964 	0.746	10.619
0.41	-1.66	38.16		7.59E+08	73.9780 	0.759	10.944
0.42	-1.593	39.67		7.73E+08	76.9348 	0.773	11.288
0.43	-1.537	41.242		7.86E+08	79.6411 	0.786	11.647
