FREQ-MHZ  DB[S11]  MAG[Z1]
             EXP1     EXP1
 
 100.000   -0.008    4.022
 110.000   -0.012    4.474
 120.000   -0.018    4.942
 130.000   -0.026    5.431
 140.000   -0.038    5.943
 150.000   -0.054    6.485
 160.000   -0.077    7.059
 170.000   -0.108    7.675
 180.000   -0.152    8.337
 190.000   -0.214    9.056
 200.000   -0.301    9.839
 210.000   -0.422   10.694
 220.000   -0.593   11.626
 230.000   -0.831   12.625
 240.000   -1.157   13.661
 250.000   -1.587   14.658
 260.000   -2.118   15.482
 270.000   -2.696   15.943
 280.000   -3.213   15.877
 290.000   -3.540   15.258
 300.000   -3.616   14.246
 310.000   -3.485   13.089
 320.000   -3.241   11.997
 330.000   -2.962   11.089
 340.000   -2.694   10.405
 350.000   -2.456    9.940
 360.000   -2.252    9.665
 370.000   -2.081    9.547
 380.000   -1.937    9.552
 390.000   -1.817    9.652
 400.000   -1.717    9.824
 410.000   -1.634   10.051
 420.000   -1.564   10.319
 430.000   -1.505   10.619
 440.000   -1.457   10.944
 450.000   -1.416   11.288
 460.000   -1.383   11.647
 470.000   -1.356   12.020
 480.000   -1.334   12.404
 490.000   -1.317   12.797
 500.000   -1.304   13.199
 510.000   -1.295   13.609
 520.000   -1.290   14.027
 530.000   -1.288   14.452
 540.000   -1.288   14.885
 550.000   -1.292   15.325
 560.000   -1.298   15.773
 570.000   -1.307   16.229
 580.000   -1.318   16.693
 590.000   -1.331   17.165
 600.000   -1.347   17.646
 610.000   -1.366   18.136
 620.000   -1.386   18.636
 630.000   -1.409   19.146
 640.000   -1.435   19.666
 650.000   -1.462   20.198
 660.000   -1.493   20.742
 670.000   -1.525   21.298
 680.000   -1.561   21.866
 690.000   -1.599   22.449
 700.000   -1.640   23.046
 710.000   -1.684   23.658
 720.000   -1.731   24.286
 730.000   -1.782   24.931
 740.000   -1.835   25.593
 750.000   -1.893   26.274
 760.000   -1.954   26.975
 770.000   -2.019   27.696
 780.000   -2.088   28.439
 790.000   -2.162   29.205
 800.000   -2.240   29.994
 810.000   -2.323   30.809
 820.000   -2.412   31.650
 830.000   -2.507   32.518
 840.000   -2.607   33.415
 850.000   -2.714   34.343
 860.000   -2.828   35.301
 870.000   -2.949   36.291
 880.000   -3.078   37.315
 890.000   -3.215   38.374
 900.000   -3.361   39.467
 910.000   -3.517   40.596
 920.000   -3.682   41.760
 930.000   -3.859   42.960
 940.000   -4.047   44.195
 950.000   -4.248   45.463
 960.000   -4.462   46.762
 970.000   -4.690   48.088
 980.000   -4.934   49.437
 990.000   -5.194   50.802
 1000.00   -5.472   52.176
 1010.00   -5.769   53.548
 1020.00   -6.087   54.905
 1030.00   -6.427   56.233
 1040.00   -6.791   57.515
 1050.00   -7.181   58.730
 1060.00   -7.601   59.856
 1070.00   -8.051   60.870
 1080.00   -8.536   61.746
 1090.00   -9.059   62.459
 1100.00   -9.625   62.988
 1110.00  -10.238   63.311
 1120.00  -10.905   63.413
 1130.00  -11.633   63.285
 1140.00  -12.433   62.924
 1150.00  -13.317   62.334
 1160.00  -14.301   61.528
 1170.00  -15.408   60.521
 1180.00  -16.670   59.338
 1190.00  -18.133   58.004
 1200.00  -19.869   56.548
 1210.00  -21.997   54.997
 1220.00  -24.728   53.379
 1230.00  -28.462   51.719
 1240.00  -33.511   50.040
 1250.00  -34.232   48.362
 1260.00  -29.340   46.701
 1270.00  -25.613   45.071
 1280.00  -22.960   43.484
 1290.00  -20.949   41.949
 1300.00  -19.349   40.471
 1310.00  -18.033   39.057
 1320.00  -16.923   37.710
 1330.00  -15.970   36.433
 1340.00  -15.140   35.227
 1350.00  -14.410   34.092
