FREQ-GHZ  MAG[Z1]   IM[Z1]
            OPEN2    OPEN2
 
 2.00000   75.254   75.191
 2.00500   76.311   76.245
 2.01000   77.387   77.319
 2.01500   78.486   78.415
 2.02000   79.607   79.534
 2.02500   80.751   80.675
 2.03000   81.919   81.840
 2.03500   83.111   83.030
 2.04000   84.330   84.245
 2.04500   85.575   85.487
 2.05000   86.847   86.756
 2.05500   88.148   88.054
 2.06000   89.479   89.381
 2.06500   90.841   90.739
 2.07000   92.235   92.128
 2.07500   93.662   93.551
 2.08000   95.124   95.008
 2.08500   96.622   96.501
 2.09000   98.158   98.031
 2.09500   99.732   99.600
 2.10000  101.348  101.209
 2.10500  103.005  102.861
 2.11000  104.707  104.556
 2.11500  106.456  106.297
 2.12000  108.252  108.086
 2.12500  110.099  109.925
 2.13000  111.999  111.816
 2.13500  113.954  113.762
 2.14000  115.967  115.764
 2.14500  118.041  117.827
 2.15000  120.178  119.953
 2.15500  122.382  122.145
 2.16000  124.656  124.405
 2.16500  127.003  126.739
 2.17000  129.428  129.148
 2.17500  131.935  131.638
 2.18000  134.527  134.213
 2.18500  137.210  136.877
 2.19000  139.989  139.635
 2.19500  142.869  142.493
 2.20000  145.856  145.456
 2.20500  148.956  148.529
 2.21000  152.176  151.721
 2.21500  155.524  155.037
 2.22000  159.007  158.487
 2.22500  162.634  162.077
 2.23000  166.415  165.816
 2.23500  170.359  169.716
 2.24000  174.478  173.786
 2.24500  178.784  178.038
 2.25000  183.291  182.485
 2.25500  188.012  187.140
 2.26000  192.964  192.019
 2.26500  198.165  197.139
 2.27000  203.634  202.518
 2.27500  209.393  208.175
 2.28000  215.466  214.135
 2.28500  221.879  220.420
 2.29000  228.662  227.060
 2.29500  235.849  234.084
 2.30000  243.477  241.527
 2.30500  251.587  249.427
 2.31000  260.227  257.827
 2.31500  269.452  266.775
 2.32000  279.322  276.326
 2.32500  289.907  286.541
 2.33000  301.288  297.491
 2.33500  313.557  309.254
 2.34000  326.822  321.922
 2.34500  341.207  335.599
 2.35000  356.858  350.403
 2.35500  373.948  366.473
 2.36000  392.679  383.967
 2.36500  413.293  403.065
 2.37000  436.082  423.979
 2.37500  461.395  446.949
 2.38000  489.658  472.249
 2.38500  521.392  500.188
 2.39000  557.237  531.105
 2.39500  597.990  565.356
 2.40000  644.636  603.280
 2.40500  698.407  645.125
 2.41000  760.830  690.902
 2.41500  833.772  740.090
 2.42000  919.441  791.055
 2.42500  1.0e+03  839.951
 2.43000  1.1e+03  878.715
 2.43500  1.3e+03  891.816
 2.44000  1.4e+03  852.415
 2.44500  1.6e+03  722.609
 2.45000  1.7e+03  470.022
 2.45500  1.8e+03  108.291
 2.46000  1.7e+03 -277.953
 2.46500  1.6e+03 -585.496
 2.47000  1.5e+03 -769.651
 2.47500  1.3e+03 -848.053
 2.48000  1.2e+03 -858.769
 2.48500  1.1e+03 -833.364
 2.49000  956.516 -791.576
 2.49500  865.260 -744.202
 2.50000  787.656 -696.680
 2.50500  721.392 -651.532
 2.51000  664.462 -609.765
 2.51500  615.212 -571.638
 2.52000  572.301 -537.049
 2.52500  534.655 -505.738
 2.53000  501.409 -477.393
 2.53500  471.867 -451.700
 2.54000  445.464 -428.359
 2.54500  421.741 -407.101
 2.55000  400.320 -387.687
 2.55500  380.890 -369.907
 2.56000  363.189 -353.575
 2.56500  347.002 -338.534
