FREQ-GHZ  MAG[Y1]   IM[Y1]
           SHORT2   SHORT2
 
 2.00000    0.030    0.030
 2.00500    0.031    0.031
 2.01000    0.031    0.031
 2.01500    0.032    0.031
 2.02000    0.032    0.032
 2.02500    0.032    0.032
 2.03000    0.033    0.033
 2.03500    0.033    0.033
 2.04000    0.034    0.034
 2.04500    0.034    0.034
 2.05000    0.035    0.035
 2.05500    0.035    0.035
 2.06000    0.036    0.036
 2.06500    0.036    0.036
 2.07000    0.037    0.037
 2.07500    0.038    0.038
 2.08000    0.038    0.038
 2.08500    0.039    0.039
 2.09000    0.039    0.039
 2.09500    0.040    0.040
 2.10000    0.041    0.041
 2.10500    0.041    0.041
 2.11000    0.042    0.042
 2.11500    0.043    0.043
 2.12000    0.043    0.043
 2.12500    0.044    0.044
 2.13000    0.045    0.045
 2.13500    0.046    0.046
 2.14000    0.047    0.046
 2.14500    0.047    0.047
 2.15000    0.048    0.048
 2.15500    0.049    0.049
 2.16000    0.050    0.050
 2.16500    0.051    0.051
 2.17000    0.052    0.052
 2.17500    0.053    0.053
 2.18000    0.054    0.054
 2.18500    0.055    0.055
 2.19000    0.056    0.056
 2.19500    0.057    0.057
 2.20000    0.059    0.058
 2.20500    0.060    0.060
 2.21000    0.061    0.061
 2.21500    0.062    0.062
 2.22000    0.064    0.064
 2.22500    0.065    0.065
 2.23000    0.067    0.066
 2.23500    0.068    0.068
 2.24000    0.070    0.070
 2.24500    0.072    0.071
 2.25000    0.074    0.073
 2.25500    0.075    0.075
 2.26000    0.077    0.077
 2.26500    0.080    0.079
 2.27000    0.082    0.081
 2.27500    0.084    0.083
 2.28000    0.086    0.086
 2.28500    0.089    0.088
 2.29000    0.092    0.091
 2.29500    0.095    0.094
 2.30000    0.098    0.097
 2.30500    0.101    0.100
 2.31000    0.104    0.103
 2.31500    0.108    0.107
 2.32000    0.112    0.111
 2.32500    0.116    0.115
 2.33000    0.121    0.119
 2.33500    0.126    0.124
 2.34000    0.131    0.129
 2.34500    0.137    0.134
 2.35000    0.143    0.140
 2.35500    0.150    0.147
 2.36000    0.158    0.153
 2.36500    0.166    0.161
 2.37000    0.175    0.169
 2.37500    0.185    0.179
 2.38000    0.197    0.189
 2.38500    0.209    0.200
 2.39000    0.224    0.212
 2.39500    0.240    0.225
 2.40000    0.259    0.240
 2.40500    0.280    0.257
 2.41000    0.305    0.275
 2.41500    0.335    0.294
 2.42000    0.369    0.314
