FREQ-GHZ  MAG[Z1]   IM[Z1]
           SHORT4   SHORT4
 
 2.00000  165.505  165.416
 2.00500  167.443  167.350
 2.01000  169.422  169.325
 2.01500  171.445  171.344
 2.02000  173.513  173.407
 2.02500  175.627  175.516
 2.03000  177.790  177.674
 2.03500  180.002  179.881
 2.04000  182.266  182.139
 2.04500  184.583  184.451
 2.05000  186.956  186.818
 2.05500  189.387  189.242
 2.06000  191.877  191.725
 2.06500  194.430  194.270
 2.07000  197.046  196.879
 2.07500  199.730  199.554
 2.08000  202.483  202.298
 2.08500  205.309  205.114
 2.09000  208.210  208.005
 2.09500  211.189  210.974
 2.10000  214.250  214.024
 2.10500  217.396  217.158
 2.11000  220.631  220.380
 2.11500  223.959  223.694
 2.12000  227.383  227.104
 2.12500  230.909  230.614
 2.13000  234.540  234.229
 2.13500  238.282  237.953
 2.14000  242.140  241.792
 2.14500  246.119  245.751
 2.15000  250.226  249.836
 2.15500  254.466  254.053
 2.16000  258.847  258.408
 2.16500  263.375  262.909
 2.17000  268.057  267.563
 2.17500  272.904  272.377
 2.18000  277.922  277.361
 2.18500  283.122  282.524
 2.19000  288.513  287.876
 2.19500  294.106  293.426
 2.20000  299.914  299.187
 2.20500  305.948  305.170
 2.21000  312.222  311.389
 2.21500  318.752  317.858
 2.22000  325.552  324.592
 2.22500  332.641  331.608
 2.23000  340.036  338.924
 2.23500  347.759  346.560
 2.24000  355.831  354.537
 2.24500  364.278  362.878
 2.25000  373.125  371.608
 2.25500  382.402  380.756
 2.26000  392.141  390.351
 2.26500  402.377  400.428
 2.27000  413.150  411.023
 2.27500  424.502  422.176
 2.28000  436.482  433.932
 2.28500  449.142  446.341
 2.29000  462.543  459.459
 2.29500  476.750  473.345
 2.30000  491.839  488.069
 2.30500  507.893  503.707
 2.31000  525.007  520.345
 2.31500  543.289  538.080
 2.32000  562.862  557.020
 2.32500  583.865  577.289
 2.33000  606.459  599.027
 2.33500  630.829  622.392
 2.34000  657.190  647.567
 2.34500  685.790  674.759
 2.35000  716.922  704.208
 2.35500  750.930  736.187
 2.36000  788.220  771.013
 2.36500  829.276  809.049
 2.37000  874.679  850.716
 2.37500  925.130  896.494
 2.38000  981.478  946.934
 2.38500  1.0e+03  1.0e+03
 2.39000  1.1e+03  1.1e+03
 2.39500  1.2e+03  1.1e+03
 2.40000  1.3e+03  1.2e+03
 2.40500  1.4e+03  1.3e+03
 2.41000  1.5e+03  1.4e+03
 2.41500  1.7e+03  1.5e+03
 2.42000  1.8e+03  1.6e+03
 2.42500  2.0e+03  1.7e+03
 2.43000  2.3e+03  1.8e+03
 2.43500  2.5e+03  1.8e+03
 2.44000  2.8e+03  1.7e+03
 2.44500  3.1e+03  1.4e+03
 2.45000  3.4e+03  940.236
 2.45500  3.5e+03  216.613
 2.46000  3.5e+03 -556.036
 2.46500  3.2e+03 -1.2e+03
 2.47000  3.0e+03 -1.5e+03
 2.47500  2.7e+03 -1.7e+03
 2.48000  2.4e+03 -1.7e+03
 2.48500  2.1e+03 -1.7e+03
 2.49000  1.9e+03 -1.6e+03
 2.49500  1.7e+03 -1.5e+03
 2.50000  1.6e+03 -1.4e+03
 2.50500  1.4e+03 -1.3e+03
 2.51000  1.3e+03 -1.2e+03
 2.51500  1.2e+03 -1.1e+03
 2.52000  1.1e+03 -1.1e+03
 2.52500  1.1e+03 -1.0e+03
 2.53000  1.0e+03 -957.162
 2.53500  945.956 -905.935
 2.54000  893.327 -859.414
 2.54500  846.056 -817.060
 2.55000  803.387 -778.393
 2.55500  764.698 -742.992
 2.56000  729.469 -710.491
 2.56500  697.264 -680.569
 2.57000  667.718 -652.947
 2.57500  640.520 -627.382
 2.58000  615.405 -603.662
 2.58500  592.145 -581.602
 2.59000  570.545 -561.040
 2.59500  550.435 -541.832
 2.60000  531.667 -523.852
 2.60500  514.113 -506.990
 2.61000  497.659 -491.146
 2.61500  482.206 -476.232
 2.62000  467.666 -462.172
 2.62500  453.961 -448.894
 2.63000  441.020 -436.336
 2.63500  428.783 -424.442
 2.64000  417.193 -413.162
 2.64500  406.201 -402.449
 2.65000  395.761 -392.262
 2.65500  385.834 -382.563
 2.66000  376.381 -373.320
 2.66500  367.371 -364.500
 2.67000  358.772 -356.075
 2.67500  350.557 -348.020
 2.68000  342.701 -340.311
 2.68500  335.181 -332.925
 2.69000  327.976 -325.844
 2.69500  321.066 -319.049
 2.70000  314.433 -312.522
 2.70500  308.061 -306.249
 2.71000  301.936 -300.214
 2.71500  296.042 -294.405
 2.72000  290.366 -288.808
 2.72500  284.898 -283.413
 2.73000  279.625 -278.209
 2.73500  274.537 -273.186
 2.74000  269.625 -268.334
 2.74500  264.880 -263.645
 2.75000  260.293 -259.110
 2.75500  255.856 -254.723
 2.76000  251.562 -250.475
 2.76500  247.404 -246.361
 2.77000  243.376 -242.374
 2.77500  239.471 -238.509
 2.78000  235.685 -234.759
 2.78500  232.011 -231.120
 2.79000  228.445 -227.587
 2.79500  224.982 -224.154
 2.80000  221.617 -220.819
 2.80500  218.346 -217.576
 2.81000  215.166 -214.423
 2.81500  212.072 -211.354
 2.82000  209.061 -208.367
 2.82500  206.130 -205.459
 2.83000  203.276 -202.626
 2.83500  200.495 -199.866
 2.84000  197.784 -197.175
 2.84500  195.142 -194.551
 2.85000  192.565 -191.992
 2.85500  190.050 -189.495
 2.86000  187.597 -187.057
 2.86500  185.202 -184.678
 2.87000  182.863 -182.354
 2.87500  180.578 -180.083
 2.88000  178.346 -177.865
 2.88500  176.164 -175.696
 2.89000  174.031 -173.575
 2.89500  171.945 -171.502
 2.90000  169.905 -169.473
 2.90500  167.908 -167.488
 2.91000  165.955 -165.545
 2.91500  164.042 -163.643
 2.92000  162.170 -161.780
 2.92500  160.336 -159.956
 2.93000  158.539 -158.168
 2.93500  156.779 -156.417
 2.94000  155.054 -154.700
 2.94500  153.362 -153.017
 2.95000  151.704 -151.367
 2.95500  150.078 -149.748
 2.96000  148.483 -148.160
 2.96500  146.918 -146.602
 2.97000  145.382 -145.074
 2.97500  143.875 -143.573
 2.98000  142.395 -142.100
 2.98500  140.943 -140.653
 2.99000  139.516 -139.232
 2.99500  138.115 -137.837
 3.00000  136.738 -136.466

