FREQ-GHZ  DB[S11]  MAG[Z1]
             EXP1     EXP1
 
 0.00000 -6.0e-08  1.4e+10
 0.01000   -0.011  1.4e+03
 0.02000   -0.022  718.177
 0.03000   -0.033  478.166
 0.04000   -0.044  357.974
 0.05000   -0.054  285.710
 0.06000   -0.065  237.410
 0.07000   -0.075  202.803
 0.08000   -0.085  176.753
 0.09000   -0.094  156.408
 0.10000   -0.103  140.056
 0.11000   -0.112  126.608
 0.12000   -0.121  115.337
 0.13000   -0.129  105.740
 0.14000   -0.136   97.459
 0.15000   -0.143   90.229
 0.16000   -0.150   83.853
 0.17000   -0.156   78.181
 0.18000   -0.162   73.093
 0.19000   -0.168   68.498
 0.20000   -0.173   64.321
 0.21000   -0.177   60.501
 0.22000   -0.182   56.991
 0.23000   -0.185   53.748
 0.24000   -0.189   50.739
 0.25000   -0.192   47.935
 0.26000   -0.195   45.312
 0.27000   -0.197   42.849
 0.28000   -0.199   40.529
 0.29000   -0.201   38.336
 0.30000   -0.202   36.257
 0.31000   -0.204   34.281
 0.32000   -0.205   32.396
 0.33000   -0.206   30.595
 0.34000   -0.206   28.869
 0.35000   -0.207   27.211
 0.36000   -0.207   25.614
 0.37000   -0.207   24.073
 0.38000   -0.207   22.584
 0.39000   -0.207   21.140
 0.40000   -0.207   19.738
 0.41000   -0.206   18.374
 0.42000   -0.206   17.045
 0.43000   -0.205   15.747
 0.44000   -0.205   14.477
 0.45000   -0.204   13.233
 0.46000   -0.204   12.012
 0.47000   -0.203   10.811
 0.48000   -0.203    9.628
 0.49000   -0.202    8.462
 0.50000   -0.202    7.310
 0.51000   -0.201    6.171
 0.52000   -0.201    5.043
 0.53000   -0.200    3.927
 0.54000   -0.200    2.824
 0.55000   -0.200    1.746
 0.56000   -0.200    0.786
 0.57000   -0.200    0.814
 0.58000   -0.200    1.785
 0.59000   -0.200    2.864
 0.60000   -0.201    3.967
 0.61000   -0.201    5.084
 0.62000   -0.202    6.213
 0.63000   -0.203    7.353
 0.64000   -0.204    8.505
 0.65000   -0.205    9.673
 0.66000   -0.207   10.856
 0.67000   -0.208   12.058
 0.68000   -0.210   13.281
 0.69000   -0.212   14.526
 0.70000   -0.215   15.798
 0.71000   -0.217   17.098
 0.72000   -0.220   18.429
 0.73000   -0.224   19.795
 0.74000   -0.227   21.199
 0.75000   -0.231   22.645
 0.76000   -0.235   24.138
 0.77000   -0.240   25.682
 0.78000   -0.245   27.282
 0.79000   -0.250   28.944
 0.80000   -0.256   30.675
 0.81000   -0.262   32.481
 0.82000   -0.269   34.371
 0.83000   -0.276   36.354
 0.84000   -0.283   38.439
 0.85000   -0.291   40.640
 0.86000   -0.299   42.968
 0.87000   -0.308   45.441
 0.88000   -0.317   48.075
 0.89000   -0.326   50.891
 0.90000   -0.336   53.914
 0.91000   -0.347   57.173
 0.92000   -0.357   60.702
 0.93000   -0.369   64.542
 0.94000   -0.380   68.743
 0.95000   -0.392   73.366
 0.96000   -0.405   78.486
 0.97000   -0.417   84.197
 0.98000   -0.430   90.617
 0.99000   -0.444   97.899
 1.00000   -0.457  106.241
 1.01000   -0.471  115.910
 1.02000   -0.485  127.266
 1.03000   -0.498  140.813
 1.04000   -0.512  157.274
 1.05000   -0.526  177.731
 1.06000   -0.540  203.864
 1.07000   -0.553  238.432
 1.08000   -0.567  286.280
 1.09000   -0.580  356.660
 1.10000   -0.592  469.253
 1.11000   -0.605  670.977
 1.12000   -0.616  1.1e+03
 1.13000   -0.628  1.4e+03
 1.14000   -0.639  934.411
 1.15000   -0.649  604.006
 1.16000   -0.658  433.327
 1.17000   -0.667  334.913
 1.18000   -0.675  271.835
