FREQ-GHZ  DB[S11]  MAG[Z1]
             EXP1     EXP1
 
 0.00000 -6.9e-07  2.0e-06
 0.01000 -1.4e-06    0.583
 0.02000 -9.1e-06    1.166
 0.03000 -3.0e-05    1.752
 0.04000 -7.1e-05    2.341
 0.05000 -1.4e-04    2.933
 0.06000 -2.4e-04    3.531
 0.07000 -3.8e-04    4.135
 0.08000 -5.8e-04    4.746
 0.09000 -8.3e-04    5.366
 0.10000   -0.001    5.996
 0.11000   -0.002    6.637
 0.12000   -0.002    7.290
 0.13000   -0.003    7.957
 0.14000   -0.003    8.641
 0.15000   -0.004    9.341
 0.16000   -0.005   10.061
 0.17000   -0.006   10.803
 0.18000   -0.008   11.568
 0.19000   -0.009   12.360
 0.20000   -0.011   13.180
 0.21000   -0.013   14.033
 0.22000   -0.015   14.922
 0.23000   -0.018   15.850
 0.24000   -0.021   16.823
 0.25000   -0.024   17.844
 0.26000   -0.028   18.920
 0.27000   -0.033   20.057
 0.28000   -0.038   21.263
 0.29000   -0.043   22.546
 0.30000   -0.050   23.917
 0.31000   -0.057   25.386
 0.32000   -0.066   26.970
 0.33000   -0.075   28.682
 0.34000   -0.085   30.545
 0.35000   -0.097   32.582
 0.36000   -0.111   34.822
 0.37000   -0.126   37.303
 0.38000   -0.143   40.069
 0.39000   -0.162   43.179
 0.40000   -0.183   46.708
 0.41000   -0.207   50.753
 0.42000   -0.233   55.445
 0.43000   -0.262   60.964
 0.44000   -0.293   67.560
 0.45000   -0.327   75.597
 0.46000   -0.364   85.624
 0.47000   -0.402   98.507
 0.48000   -0.442  115.696
 0.49000   -0.482  139.818
 0.50000   -0.522  176.158
 0.51000   -0.560  237.078
 0.52000   -0.595  359.140
 0.53000   -0.626  699.995
 0.54000   -0.652  1.3e+03
 0.55000   -0.672  536.818
 0.56000   -0.686  306.825
 0.57000   -0.694  212.611
 0.58000   -0.695  162.115
 0.59000   -0.690  130.726
 0.60000   -0.681  109.327
 0.61000   -0.667   93.791
 0.62000   -0.651   81.987
 0.63000   -0.632   72.701
 0.64000   -0.611   65.194
 0.65000   -0.590   58.992
 0.66000   -0.568   53.773
 0.67000   -0.546   49.314
 0.68000   -0.525   45.453
 0.69000   -0.504   42.074
 0.70000   -0.484   39.086
 0.71000   -0.464   36.421
 0.72000   -0.446   34.025
 0.73000   -0.429   31.856
 0.74000   -0.412   29.880
 0.75000   -0.397   28.070
 0.76000   -0.382   26.402
 0.77000   -0.368   24.858
 0.78000   -0.355   23.423
 0.79000   -0.343   22.082
 0.80000   -0.332   20.826
 0.81000   -0.322   19.644
 0.82000   -0.312   18.527
 0.83000   -0.302   17.470
 0.84000   -0.294   16.466
 0.85000   -0.286   15.508
 0.86000   -0.278   14.594
 0.87000   -0.271   13.717
 0.88000   -0.264   12.875
 0.89000   -0.258   12.064
 0.90000   -0.253   11.282
 0.91000   -0.247   10.525
 0.92000   -0.242    9.791
 0.93000   -0.238    9.078
 0.94000   -0.234    8.384
 0.95000   -0.230    7.706
 0.96000   -0.226    7.045
 0.97000   -0.223    6.397
 0.98000   -0.220    5.761
 0.99000   -0.218    5.137
 1.00000   -0.215    4.523
 1.01000   -0.213    3.919
 1.02000   -0.211    3.324
 1.03000   -0.210    2.737
 1.04000   -0.209    2.162
 1.05000   -0.208    1.604
 1.06000   -0.207    1.081
 1.07000   -0.207    0.674
 1.08000   -0.207    0.654
 1.09000   -0.207    1.042
 1.10000   -0.208    1.560
 1.11000   -0.209    2.117
 1.12000   -0.210    2.692
 1.13000   -0.212    3.277
 1.14000   -0.214    3.872
 1.15000   -0.216    4.476
 1.16000   -0.219    5.090
 1.17000   -0.222    5.713
