FREQ-GHZ	DB[S11]	MAG[Z1]
	EXP1	EXP1
		
0	-1.00E-07	8.30E+09
0.01	-0.011	1.40E+03
0.02	-0.022	718.177
0.03	-0.033	478.166
0.04	-0.044	357.974
0.05	-0.054	285.71
0.06	-0.065	237.41
0.07	-0.075	202.803
0.08	-0.085	176.753
0.09	-0.094	156.408
0.1	-0.103	140.056
0.11	-0.112	126.608
0.12	-0.121	115.337
0.13	-0.129	105.74
0.14	-0.136	97.459
0.15	-0.143	90.229
0.16	-0.15	83.853
0.17	-0.156	78.181
0.18	-0.162	73.093
0.19	-0.168	68.498
0.2	-0.173	64.321
0.21	-0.177	60.501
0.22	-0.182	56.991
0.23	-0.185	53.748
0.24	-0.189	50.739
0.25	-0.192	47.935
0.26	-0.195	45.312
0.27	-0.197	42.849
0.28	-0.199	40.529
0.29	-0.201	38.336
0.3	-0.202	36.257
0.31	-0.204	34.281
0.32	-0.205	32.396
0.33	-0.206	30.595
0.34	-0.206	28.869
0.35	-0.207	27.211
0.36	-0.207	25.614
0.37	-0.207	24.073
0.38	-0.207	22.584
0.39	-0.207	21.14
0.4	-0.207	19.738
0.41	-0.206	18.374
0.42	-0.206	17.045
0.43	-0.205	15.747
0.44	-0.205	14.477
0.45	-0.204	13.233
0.46	-0.204	12.012
0.47	-0.203	10.811
0.48	-0.203	9.628
0.49	-0.202	8.462
0.5	-0.202	7.31
0.51	-0.201	6.171
0.52	-0.201	5.043
0.53	-0.2	3.927
0.54	-0.2	2.824
0.55	-0.2	1.746
0.56	-0.2	0.786
0.57	-0.2	0.814
0.58	-0.2	1.785
0.59	-0.2	2.864
0.6	-0.201	3.967
0.61	-0.201	5.084
0.62	-0.202	6.213
0.63	-0.203	7.353
0.64	-0.204	8.505
0.65	-0.205	9.673
0.66	-0.207	10.856
0.67	-0.208	12.058
0.68	-0.21	13.281
0.69	-0.212	14.526
0.7	-0.215	15.798
0.71	-0.217	17.098
0.72	-0.22	18.429
0.73	-0.224	19.795
0.74	-0.227	21.199
0.75	-0.231	22.645
0.76	-0.235	24.138
0.77	-0.24	25.682
0.78	-0.245	27.282
0.79	-0.25	28.944
0.8	-0.256	30.675
0.81	-0.262	32.481
0.82	-0.269	34.371
0.83	-0.276	36.354
0.84	-0.283	38.439
0.85	-0.291	40.64
0.86	-0.299	42.968
0.87	-0.308	45.441
0.88	-0.317	48.075
0.89	-0.326	50.891
0.9	-0.336	53.914
0.91	-0.347	57.173
0.92	-0.357	60.702
0.93	-0.369	64.542
0.94	-0.38	68.743
0.95	-0.392	73.366
0.96	-0.405	78.486
0.97	-0.417	84.197
0.98	-0.43	90.617
0.99	-0.444	97.899
1	-0.457	106.241
1.01	-0.471	115.91
1.02	-0.485	127.266
1.03	-0.498	140.813
1.04	-0.512	157.274
1.05	-0.526	177.731
1.06	-0.54	203.864
1.07	-0.553	238.432
1.08	-0.567	286.28
1.09	-0.58	356.66
1.1	-0.592	469.253
1.11	-0.605	670.977
1.12	-0.616	1.10E+03
1.13	-0.628	1.40E+03
1.14	-0.639	934.41
1.15	-0.649	604.006
1.16	-0.658	433.327
1.17	-0.667	334.913
1.18	-0.675	271.835
1.19	-0.683	228.171
1.2	-0.69	196.203
1.21	-0.696	171.79
1.22	-0.701	152.528
1.23	-0.705	136.928
1.24	-0.709	124.022
1.25	-0.712	113.157
1.26	-0.715	103.87
1.27	-0.716	95.832
1.28	-0.717	88.796
1.29	-0.718	82.578
1.3	-0.718	77.035
1.31	-0.717	72.055
1.32	-0.716	67.551
1.33	-0.714	63.451
1.34	-0.712	59.698
1.35	-0.71	56.245
1.36	-0.707	53.052
1.37	-0.704	50.086
