!CSV A.01.01
!Keysight Technologies,M9372A,US54320226,A.12.60.01
!Date: Tuesday, October 15, 2024 15:06:24
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Real(U),S11 Log Mag(dB)
300000,26.851051,-10.42128
45298500,26.968431,-10.44591
90297000,27.115051,-10.417523
135295500,27.403091,-10.391185
180294000,27.851822,-10.374653
225292500,28.410013,-10.335967
270291000,29.171196,-10.319819
315289500,29.96493,-10.25747
360288000,31.018299,-10.213103
405286500,32.205544,-10.160352
450285000,33.636124,-10.115051
495283500,35.231529,-10.049005
540282000,37.056717,-9.9929848
585280500,39.207249,-9.9441004
630279000,41.546764,-9.8561602
675277500,44.308769,-9.7919254
720276000,47.433937,-9.7335768
765274500,50.904568,-9.6659908
810273000,54.775928,-9.5921049
855271500,58.982903,-9.5282526
900270000,63.797401,-9.4911785
945268500,69.143227,-9.4065781
990267000,74.554993,-9.3573341
1035265500,80.141068,-9.3385754
1080264000,85.965492,-9.3096838
1125262500,91.603752,-9.2273092
1170261000,96.218536,-9.2169228
1215259500,100.18407,-9.1905565
1260258000,102.66602,-9.1700487
1305256500,103.77241,-9.1258535
1350255000,102.7166,-9.1433516
1395253500,100.21841,-9.134552
1440252000,96.242455,-9.1291866
1485250500,91.615021,-9.1361103
1530249000,86.210823,-9.1393442
1575247500,80.208397,-9.1790571
1620246000,74.382721,-9.1744471
1665244500,68.807076,-9.2251215
1710243000,63.560982,-9.2737932
1755241500,58.659271,-9.3247232
1800240000,54.259605,-9.3485508
1845238500,50.418789,-9.4222689
1890237000,46.976807,-9.4844036
1935235500,43.781284,-9.5500927
1980234000,41.024029,-9.6157894
2025232500,38.64616,-9.6728601
2070231000,36.610569,-9.7536144
2115229500,34.756012,-9.8322306
2160228000,33.041809,-9.866128
2205226500,31.701834,-9.9287214
2250225000,30.616682,-10.046311
2295223500,29.578117,-10.094547
2340222000,28.709299,-10.1344
2385220500,28.055387,-10.189369
2430219000,27.544527,-10.25273
2475217500,27.172909,-10.315254
2520216000,26.805498,-10.292565
2565214500,26.736761,-10.345778
2610213000,26.759577,-10.375075
2655211500,26.772949,-10.321621
2700210000,26.938244,-10.271207
2745208500,27.38603,-10.281878
2790207000,27.8951,-10.215525
2835205500,28.485191,-10.122855
2880204000,29.281477,-10.053802
2925202500,30.380432,-9.9978313
2970201000,31.584633,-9.8663111
3015199500,32.866074,-9.7065372
3060198000,34.600246,-9.6057997
3105196500,36.719643,-9.4892607
3150195000,39.021477,-9.3006973
3195193500,41.576332,-9.1326637
3240192000,44.773033,-8.9712591
3285190500,48.598064,-8.8060341
3330189000,52.944881,-8.6076021
3375187500,57.789413,-8.4220362
3420186000,63.725048,-8.231144
3465184500,70.839821,-8.0523033
3510183000,78.642632,-7.839601
3555181500,87.583336,-7.6418791
3600180000,97.529778,-7.4591842
3645178500,107.89423,-7.3004775
3690177000,118.88052,-7.0749855
3735175500,127.94917,-6.906034
3780174000,134.90154,-6.7313008
3825172500,137.56029,-6.5815301
3870171000,136.02007,-6.4087176
3915169500,130.45058,-6.235467
3960168000,120.68164,-6.0931067
4005166500,108.63831,-5.9225149
4050165000,96.366379,-5.7783918
4095163500,85.085365,-5.6252189
4140162000,74.113052,-5.5242519
4185160500,63.871853,-5.3688269
4230159000,55.862347,-5.2291522
4275157500,49.278248,-5.1184483
4320156000,43.318581,-5.0451865
4365154500,38.059193,-4.8974533
4410153000,33.815544,-4.7669902
4455151500,30.507317,-4.693078
4500150000,27.387371,-4.6148667
4545148500,24.685249,-4.4902072
4590147000,22.639786,-4.4007154
4635145500,20.840706,-4.3478546
4680144000,19.101023,-4.2632694
4725142500,17.700529,-4.168685
