FREQ-MHZ  DB[S11]  MAG[Z1]
             EXP1     EXP1
 
 5.0e-07  -10.495   27.000
 10.0000  -10.491   26.991
 20.0000  -10.487   26.982
 30.0000  -10.482   26.974
 40.0000  -10.478   26.965
 50.0000  -10.474   26.956
 60.0000  -10.469   26.947
 70.0000  -10.465   26.939
 80.0000  -10.461   26.930
 90.0000  -10.457   26.922
 100.000  -10.453   26.913
 110.000  -10.449   26.905
 120.000  -10.445   26.896
 130.000  -10.441   26.888
 140.000  -10.437   26.880
 150.000  -10.433   26.872
 160.000  -10.429   26.864
 170.000  -10.425   26.857
 180.000  -10.421   26.849
 190.000  -10.418   26.842
 200.000  -10.414   26.835
 210.000  -10.411   26.828
 220.000  -10.408   26.821
 230.000  -10.404   26.814
 240.000  -10.401   26.808
 250.000  -10.398   26.802
 260.000  -10.395   26.796
 270.000  -10.392   26.790
 280.000  -10.390   26.784
 290.000  -10.387   26.779
 300.000  -10.385   26.774
 310.000  -10.382   26.769
 320.000  -10.380   26.765
 330.000  -10.378   26.760
 340.000  -10.376   26.756
 350.000  -10.374   26.752
 360.000  -10.372   26.749
 370.000  -10.371   26.746
 380.000  -10.369   26.743
 390.000  -10.368   26.740
 400.000  -10.366   26.738
 410.000  -10.365   26.735
 420.000  -10.364   26.734
 430.000  -10.364   26.732
 440.000  -10.363   26.731
 450.000  -10.363   26.730
 460.000  -10.362   26.729
 470.000  -10.362   26.729
 480.000  -10.362   26.729
 490.000  -10.362   26.729
 500.000  -10.362   26.730
 510.000  -10.362   26.730
 520.000  -10.363   26.732
 530.000  -10.363   26.733
 540.000  -10.364   26.735
 550.000  -10.365   26.737
 560.000  -10.366   26.739
 570.000  -10.367   26.742
 580.000  -10.369   26.744
 590.000  -10.370   26.747
 600.000  -10.372   26.751
 610.000  -10.373   26.755
 620.000  -10.375   26.758
 630.000  -10.377   26.763
 640.000  -10.379   26.767
 650.000  -10.381   26.772
 660.000  -10.384   26.777
 670.000  -10.386   26.782
 680.000  -10.388   26.787
 690.000  -10.391   26.793
 700.000  -10.394   26.799
 710.000  -10.397   26.805
 720.000  -10.400   26.811
 730.000  -10.403   26.817
 740.000  -10.406   26.824
 750.000  -10.409   26.831
 760.000  -10.412   26.838
 770.000  -10.416   26.845
 780.000  -10.419   26.852
 790.000  -10.423   26.860
 800.000  -10.427   26.867
 810.000  -10.430   26.875
 820.000  -10.434   26.883
 830.000  -10.438   26.891
 840.000  -10.442   26.899
 850.000  -10.446   26.907
 860.000  -10.450   26.915
 870.000  -10.454   26.923
 880.000  -10.458   26.932
 890.000  -10.462   26.940
 900.000  -10.466   26.948
 910.000  -10.470   26.957
 920.000  -10.474   26.965
 930.000  -10.478   26.974
 940.000  -10.482   26.982
 950.000  -10.487   26.991
 960.000  -10.491   26.999
 970.000  -10.495   27.008
 980.000  -10.499   27.016
 990.000  -10.503   27.024
 1000.00  -10.507   27.033
 1010.00  -10.511   27.041
 1020.00  -10.515   27.049
 1030.00  -10.519   27.057
 1040.00  -10.523   27.065
 1050.00  -10.527   27.073
 1060.00  -10.531   27.080
 1070.00  -10.535   27.088
 1080.00  -10.539   27.095
 1090.00  -10.542   27.103
 1100.00  -10.546   27.110
 1110.00  -10.549   27.117
 1120.00  -10.553   27.124
 1130.00  -10.556   27.130
 1140.00  -10.559   27.137
 1150.00  -10.562   27.143
 1160.00  -10.565   27.149
 1170.00  -10.568   27.155
 1180.00  -10.571   27.160
 1190.00  -10.574   27.166
 1200.00  -10.577   27.171
 1210.00  -10.579   27.176
 1220.00  -10.581   27.180
 1230.00  -10.584   27.185
 1240.00  -10.586   27.189
 1250.00  -10.588   27.193
