FREQ-MHZ	DB[S11]	MAG[Z1]
	EXP1	EXP1
		
5.00E-07	-10.495	27
10	-10.491	26.991
20	-10.487	26.982
30	-10.482	26.974
40	-10.478	26.965
50	-10.474	26.956
60	-10.469	26.947
70	-10.465	26.939
80	-10.461	26.93
90	-10.457	26.922
100	-10.453	26.913
110	-10.449	26.905
120	-10.445	26.896
130	-10.441	26.888
140	-10.437	26.88
150	-10.433	26.872
160	-10.429	26.864
170	-10.425	26.857
180	-10.421	26.849
190	-10.418	26.842
200	-10.414	26.835
210	-10.411	26.828
220	-10.408	26.821
230	-10.404	26.814
240	-10.401	26.808
250	-10.398	26.802
260	-10.395	26.796
270	-10.392	26.79
280	-10.39	26.784
290	-10.387	26.779
300	-10.385	26.774
310	-10.382	26.769
320	-10.38	26.765
330	-10.378	26.76
340	-10.376	26.756
350	-10.374	26.752
360	-10.372	26.749
370	-10.371	26.746
380	-10.369	26.743
390	-10.368	26.74
400	-10.366	26.738
410	-10.365	26.735
420	-10.364	26.734
430	-10.364	26.732
440	-10.363	26.731
450	-10.363	26.73
460	-10.362	26.729
470	-10.362	26.729
480	-10.362	26.729
490	-10.362	26.729
500	-10.362	26.73
510	-10.362	26.73
520	-10.363	26.732
530	-10.363	26.733
540	-10.364	26.735
550	-10.365	26.737
560	-10.366	26.739
570	-10.367	26.742
580	-10.369	26.744
590	-10.37	26.747
600	-10.372	26.751
610	-10.373	26.755
620	-10.375	26.758
630	-10.377	26.763
640	-10.379	26.767
650	-10.381	26.772
660	-10.384	26.777
670	-10.386	26.782
680	-10.388	26.787
690	-10.391	26.793
700	-10.394	26.799
710	-10.397	26.805
720	-10.4	26.811
730	-10.403	26.817
740	-10.406	26.824
750	-10.409	26.831
760	-10.412	26.838
770	-10.416	26.845
780	-10.419	26.852
790	-10.423	26.86
800	-10.427	26.867
810	-10.43	26.875
820	-10.434	26.883
830	-10.438	26.891
840	-10.442	26.899
850	-10.446	26.907
860	-10.45	26.915
870	-10.454	26.923
880	-10.458	26.932
890	-10.462	26.94
900	-10.466	26.948
910	-10.47	26.957
920	-10.474	26.965
930	-10.478	26.974
940	-10.482	26.982
950	-10.487	26.991
960	-10.491	26.999
970	-10.495	27.008
980	-10.499	27.016
990	-10.503	27.024
1000	-10.507	27.033
1010	-10.511	27.041
1020	-10.515	27.049
1030	-10.519	27.057
1040	-10.523	27.065
1050	-10.527	27.073
1060	-10.531	27.08
1070	-10.535	27.088
1080	-10.539	27.095
1090	-10.542	27.103
1100	-10.546	27.11
1110	-10.549	27.117
1120	-10.553	27.124
1130	-10.556	27.13
1140	-10.559	27.137
1150	-10.562	27.143
1160	-10.565	27.149
1170	-10.568	27.155
1180	-10.571	27.16
1190	-10.574	27.166
1200	-10.577	27.171
1210	-10.579	27.176
1220	-10.581	27.18
1230	-10.584	27.185
1240	-10.586	27.189
1250	-10.588	27.193
1260	-10.59	27.196
1270	-10.591	27.2
1280	-10.593	27.203
1290	-10.594	27.205
1300	-10.596	27.208
1310	-10.597	27.21
1320	-10.598	27.212
1330	-10.599	27.214
1340	-10.6	27.215
1350	-10.6	27.216
1360	-10.601	27.217
1370	-10.601	27.217
1380	-10.601	27.217
1390	-10.601	27.217
1400	-10.601	27.217
1410	-10.601	27.216
1420	-10.6	27.215
1430	-10.6	27.214
1440	-10.599	27.212
1450	-10.598	27.21
1460	-10.597	27.208
1470	-10.596	27.205
1480	-10.594	27.203
1490	-10.593	27.199
1500	-10.591	27.196
1510	-10.59	27.193
1520	-10.588	27.189
1530	-10.586	27.185
1540	-10.584	27.18
1550	-10.581	27.176
1560	-10.579	27.171
1570	-10.576	27.166
