FREQ-MHZ	DB[S11]	MAG[Z1]
	EXP1	EXP1
		
5.00E-07	-10.495	27
10	-10.494	26.998
20	-10.493	26.999
30	-10.493	27.003
40	-10.494	27.009
50	-10.495	27.018
60	-10.497	27.029
70	-10.499	27.043
80	-10.502	27.06
90	-10.505	27.08
100	-10.509	27.102
110	-10.514	27.127
120	-10.519	27.154
130	-10.525	27.185
140	-10.532	27.217
150	-10.539	27.253
160	-10.547	27.291
170	-10.555	27.332
180	-10.564	27.375
190	-10.573	27.421
200	-10.583	27.469
210	-10.594	27.52
220	-10.605	27.574
230	-10.617	27.63
240	-10.63	27.689
250	-10.643	27.75
260	-10.657	27.814
270	-10.671	27.88
280	-10.686	27.949
290	-10.702	28.02
300	-10.718	28.094
310	-10.735	28.17
320	-10.753	28.249
330	-10.771	28.33
340	-10.79	28.413
350	-10.81	28.499
360	-10.83	28.588
370	-10.851	28.678
380	-10.872	28.771
390	-10.895	28.867
400	-10.917	28.965
410	-10.941	29.065
420	-10.965	29.167
430	-10.99	29.272
440	-11.016	29.379
450	-11.042	29.488
460	-11.069	29.6
470	-11.097	29.713
480	-11.125	29.829
490	-11.154	29.947
500	-11.184	30.067
510	-11.215	30.19
520	-11.246	30.314
530	-11.278	30.441
540	-11.311	30.569
550	-11.345	30.7
560	-11.379	30.833
570	-11.414	30.967
580	-11.45	31.104
590	-11.487	31.243
600	-11.525	31.384
610	-11.563	31.526
620	-11.602	31.671
630	-11.642	31.817
640	-11.683	31.965
650	-11.725	32.115
660	-11.767	32.267
670	-11.811	32.421
680	-11.855	32.576
690	-11.9	32.734
700	-11.946	32.892
710	-11.993	33.053
720	-12.041	33.215
730	-12.09	33.379
740	-12.14	33.544
750	-12.19	33.711
760	-12.242	33.88
770	-12.295	34.05
780	-12.348	34.222
790	-12.403	34.395
800	-12.459	34.569
810	-12.516	34.745
820	-12.573	34.922
830	-12.632	35.1
840	-12.692	35.28
850	-12.753	35.461
860	-12.816	35.643
870	-12.879	35.826
880	-12.944	36.011
890	-13.009	36.197
900	-13.076	36.383
910	-13.144	36.571
920	-13.214	36.759
930	-13.284	36.949
940	-13.356	37.139
950	-13.43	37.331
960	-13.504	37.523
970	-13.58	37.716
980	-13.658	37.909
990	-13.736	38.103
1000	-13.817	38.298
1010	-13.898	38.494
1020	-13.982	38.69
1030	-14.066	38.886
1040	-14.153	39.083
1050	-14.241	39.28
1060	-14.33	39.477
1070	-14.421	39.675
1080	-14.514	39.873
1090	-14.609	40.071
1100	-14.705	40.269
1110	-14.804	40.467
1120	-14.904	40.665
1130	-15.006	40.862
1140	-15.11	41.06
1150	-15.216	41.257
1160	-15.324	41.454
1170	-15.434	41.651
1180	-15.547	41.847
1190	-15.661	42.043
1200	-15.778	42.238
1210	-15.898	42.432
1220	-16.019	42.626
1230	-16.144	42.818
1240	-16.27	43.01
1250	-16.4	43.201
1260	-16.532	43.391
1270	-16.667	43.579
1280	-16.805	43.767
1290	-16.946	43.953
1300	-17.09	44.137
1310	-17.237	44.32
1320	-17.388	44.502
1330	-17.542	44.682
1340	-17.699	44.86
1350	-17.861	45.036
1360	-18.026	45.211
1370	-18.195	45.383
1380	-18.368	45.554
1390	-18.546	45.722
1400	-18.728	45.888
1410	-18.914	46.051
1420	-19.106	46.212
1430	-19.303	46.371
1440	-19.505	46.527
1450	-19.713	46.68
1460	-19.927	46.83
1470	-20.146	46.978
1480	-20.373	47.123
1490	-20.606	47.264
1500	-20.846	47.402
1510	-21.095	47.537
1520	-21.351	47.669
1530	-21.616	47.798
1540	-21.889	47.923
1550	-22.173	48.044
1560	-22.467	48.162
1570	-22.772	48.276
