!CSV A.01.01
!Keysight Technologies,M9372A,US54320226,A.12.60.01
!Date: Tuesday, October 22, 2024 16:08:50
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S31 Log Mag(dB)
300000,-0.0059053921
45298500,-0.057866357
90297000,-0.13201867
135295500,-0.23610142
180294000,-0.34923699
225292500,-0.47324491
270291000,-0.6131717
315289500,-0.77065879
360288000,-0.91815716
405286500,-1.0593815
450285000,-1.2077309
495283500,-1.301881
540282000,-1.4109608
585280500,-1.4810281
630279000,-1.5539154
675277500,-1.5766927
720276000,-1.5967923
765274500,-1.5896219
810273000,-1.5115789
855271500,-1.4526718
900270000,-1.3772525
945268500,-1.261265
990267000,-1.1393033
1035265500,-1.0241107
1080264000,-0.89150763
1125262500,-0.8053211
1170261000,-0.71704155
1215259500,-0.66586173
1260258000,-0.63442504
1305256500,-0.66136992
1350255000,-0.72003901
1395253500,-0.82137316
1440252000,-0.94414562
1485250500,-1.0848024
1530249000,-1.2266639
1575247500,-1.3665727
1620246000,-1.4630044
1665244500,-1.5502898
1710243000,-1.607074
1755241500,-1.589879
1800240000,-1.5544814
1845238500,-1.4951556
1890237000,-1.4172583
1935235500,-1.3776152
1980234000,-1.4077027
2025232500,-1.5940089
2070231000,-1.9975946
2115229500,-2.6467595
2160228000,-3.5575767
2205226500,-4.661119
2250225000,-5.8681059
2295223500,-7.1923575
2340222000,-8.5381556
2385220500,-9.8503075
2430219000,-11.193552
2475217500,-12.478103
2520216000,-13.74907
2565214500,-14.975111
2610213000,-16.221548
2655211500,-17.374229
2700210000,-18.58596
2745208500,-19.827265
2790207000,-20.86569
2835205500,-22.218699
2880204000,-23.425478
2925202500,-24.682699
2970201000,-25.914066
3015199500,-27.10943
3060198000,-28.469498
3105196500,-29.781416
3150195000,-31.002483
3195193500,-32.375851
3240192000,-33.829319
3285190500,-35.344677
3330189000,-36.78347
3375187500,-37.630814
3420186000,-39.255093
3465184500,-40.281384
3510183000,-41.627033
3555181500,-43.125351
3600180000,-44.132458
3645178500,-45.728188
3690177000,-47.314873
3735175500,-47.862392
3780174000,-48.984821
3825172500,-50.676888
3870171000,-51.783562
3915169500,-53.926395
3960168000,-53.66951
4005166500,-57.919746
4050165000,-60.841671
4095163500,-62.456795
4140162000,-67.813164
4185160500,-66.257454
4230159000,-61.171116
4275157500,-61.956795
4320156000,-66.420486
4365154500,-74.130577
4410153000,-62.260948
4455151500,-60.150955
4500150000,-70.016541
4545148500,-63.058914
4590147000,-64.723534
4635145500,-64.250381
4680144000,-60.933311
4725142500,-58.912445
4770141000,-58.640839
4815139500,-58.68396
4860138000,-57.592472
4905136500,-57.302776
4950135000,-70.07399
4995133500,-57.020569
5040132000,-60.473999
5085130500,-61.074463
5130129000,-56.728069
5175127500,-54.911957
5220126000,-55.518291
5265124500,-58.800831
5310123000,-58.520596
5355121500,-55.239552
5400120000,-52.501904
5445118500,-51.963276
5490117000,-49.2169
5535115500,-49.756245
5580114000,-48.373749
5625112500,-45.693707
5670111000,-42.944229
5715109500,-41.062252
5760108000,-39.500446
5805106500,-39.573006
5850105000,-41.259586
5895103500,-43.70158
5940102000,-46.864677
5985100500,-49.218098
6030099000,-52.983829
6075097500,-55.385971
6120096000,-54.823986
6165094500,-58.251644
6210093000,-56.414921
6255091500,-60.424774
6300090000,-58.255375
6345088500,-55.229328
6390087000,-47.348278
6435085500,-42.847073
6480084000,-37.639477
6525082500,-33.104832
6570081000,-28.808935
6615079500,-24.49103
6660078000,-20.033541
6705076500,-16.273588
6750075000,-13.734554
6795073500,-12.774395
6840072000,-12.898057
6885070500,-13.615211
6930069000,-14.567747
6975067500,-15.574595
7020066000,-16.47431
7065064500,-17.220947
7110063000,-17.825634
7155061500,-18.295361
7200060000,-18.620764
7245058500,-18.85528
7290057000,-18.859205
7335055500,-18.784935
7380054000,-18.600138
7425052500,-18.361198
7470051000,-17.975517
7515049500,-17.553513
7560048000,-16.910145
7605046500,-16.200966
7650045000,-15.431685
7695043500,-14.551971
7740042000,-13.534753
7785040500,-12.422717
7830039000,-11.270228
7875037500,-10.124667
7920036000,-8.962739
7965034500,-7.9597926
8010033000,-7.2363214
8055031500,-6.819242
8100030000,-6.7177134
8145028500,-6.8214908
8190027000,-7.06776
8235025500,-7.2885847
8280024000,-7.5253086
8325022500,-7.689486
8370021000,-7.778069
8415019500,-7.7583628
8460018000,-7.6430626
8505016500,-7.4751949
8550015000,-7.2086487
8595013500,-6.9489346
8640012000,-6.6677513
8685010500,-6.3635411
8730009000,-6.1000471
8775007500,-5.8792706
8820006000,-5.7680755
8865004500,-5.7251215
8910003000,-5.7886071
8955001500,-5.8899069
9000000000,-6.0438747
END

