FREQ-GHZ	DB[S21]
	EXP1
	
0	-2.90E-07
0.01	-0.004
0.02	-0.009
0.03	-0.014
0.04	-0.021
0.05	-0.028
0.06	-0.036
0.07	-0.044
0.08	-0.054
0.09	-0.064
0.1	-0.075
0.11	-0.087
0.12	-0.099
0.13	-0.112
0.14	-0.126
0.15	-0.14
0.16	-0.155
0.17	-0.17
0.18	-0.186
0.19	-0.203
0.2	-0.22
0.21	-0.237
0.22	-0.255
0.23	-0.273
0.24	-0.292
0.25	-0.311
0.26	-0.331
0.27	-0.35
0.28	-0.37
0.29	-0.39
0.3	-0.411
0.31	-0.431
0.32	-0.452
0.33	-0.473
0.34	-0.494
0.35	-0.515
0.36	-0.536
0.37	-0.557
0.38	-0.578
0.39	-0.599
0.4	-0.62
0.41	-0.641
0.42	-0.661
0.43	-0.681
0.44	-0.702
0.45	-0.722
0.46	-0.741
0.47	-0.761
0.48	-0.78
0.49	-0.799
0.5	-0.817
0.51	-0.835
0.52	-0.853
0.53	-0.87
0.54	-0.887
0.55	-0.903
0.56	-0.919
0.57	-0.934
0.58	-0.949
0.59	-0.963
0.6	-0.977
0.61	-0.99
0.62	-1.002
0.63	-1.014
0.64	-1.025
0.65	-1.036
0.66	-1.046
0.67	-1.055
0.68	-1.063
0.69	-1.071
0.7	-1.078
0.71	-1.084
0.72	-1.09
0.73	-1.095
0.74	-1.099
0.75	-1.102
0.76	-1.105
0.77	-1.106
0.78	-1.107
0.79	-1.108
0.8	-1.107
0.81	-1.105
0.82	-1.103
0.83	-1.1
0.84	-1.096
0.85	-1.092
0.86	-1.086
0.87	-1.08
0.88	-1.073
0.89	-1.065
0.9	-1.057
0.91	-1.048
0.92	-1.038
0.93	-1.027
0.94	-1.016
0.95	-1.004
0.96	-0.991
0.97	-0.977
0.98	-0.963
0.99	-0.949
1	-0.934
1.01	-0.918
1.02	-0.902
1.03	-0.885
1.04	-0.868
1.05	-0.851
1.06	-0.833
1.07	-0.815
1.08	-0.797
1.09	-0.778
1.1	-0.76
1.11	-0.741
1.12	-0.723
1.13	-0.704
1.14	-0.686
1.15	-0.668
1.16	-0.65
1.17	-0.633
1.18	-0.616
1.19	-0.599
1.2	-0.583
1.21	-0.568
1.22	-0.554
1.23	-0.54
1.24	-0.528
1.25	-0.517
1.26	-0.506
1.27	-0.497
1.28	-0.49
1.29	-0.484
1.3	-0.479
1.31	-0.476
1.32	-0.474
1.33	-0.475
1.34	-0.477
1.35	-0.481
1.36	-0.487
1.37	-0.495
1.38	-0.505
1.39	-0.516
1.4	-0.53
1.41	-0.547
1.42	-0.565
1.43	-0.585
1.44	-0.607
1.45	-0.631
1.46	-0.657
1.47	-0.685
1.48	-0.714
1.49	-0.746
1.5	-0.779
1.51	-0.813
1.52	-0.849
1.53	-0.886
1.54	-0.923
1.55	-0.962
1.56	-1.002
1.57	-1.041
1.58	-1.082
1.59	-1.122
1.6	-1.162
1.61	-1.202
1.62	-1.241
1.63	-1.28
1.64	-1.317
1.65	-1.353
1.66	-1.388
1.67	-1.421
1.68	-1.451
1.69	-1.48
1.7	-1.506
1.71	-1.529
1.72	-1.549
1.73	-1.567
1.74	-1.58
1.75	-1.59
1.76	-1.596
1.77	-1.599
1.78	-1.597
1.79	-1.592
1.8	-1.582
1.81	-1.569
1.82	-1.552
1.83	-1.532
1.84	-1.51
1.85	-1.485
1.86	-1.46
1.87	-1.434
